[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.002841s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000336s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.002095s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='38' LIMIT 1   [ RunTime:0.000210s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001621s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000168s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001353s ]
[ 2013-05-08T21:54:03+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-08T21:54:03+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='404' [ RunTime:0.000314s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001688s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000181s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001392s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='38' LIMIT 1   [ RunTime:0.000262s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001437s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000155s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001220s ]
[ 2013-05-08T21:54:03+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-08T21:54:03+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='405' [ RunTime:0.000323s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001810s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000273s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001433s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='38' LIMIT 1   [ RunTime:0.000162s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001286s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000142s ]
