[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=72 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000181s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT `id`,`title`,`img`,`simg` FROM `pp_items` WHERE status=1 and cid=73 ORDER BY is_index DESC,likes DESC LIMIT 0,9   [ RunTime:0.000180s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_article` [ RunTime:0.001377s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_article` WHERE is_best=1 and status=1 ORDER BY add_time DESC LIMIT 1   [ RunTime:0.000274s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_article` WHERE cate_id=9 and status=1 ORDER BY is_hot DESC,add_time DESC LIMIT 0,4   [ RunTime:0.000236s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_focus` WHERE cate_id=1 and status=1 ORDER BY ordid DESC  [ RunTime:0.000176s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.001624s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001119s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items` ORDER BY sort_order DESC,likes DESC LIMIT 0,25   [ RunTime:0.001098s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001355s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000242s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001693s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000168s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001167s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='297' [ RunTime:0.018388s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001404s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000220s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001320s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000259s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001286s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000265s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001392s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='25' [ RunTime:0.001902s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001311s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000204s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001578s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000219s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.000876s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000153s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001187s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='128' [ RunTime:0.001121s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001107s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000189s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001019s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000273s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001263s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000173s ]
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.000960s ]
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-09T23:29:40+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-09T23:29:40+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='151' [ RunTime:0.000463s ]
